iter	RMSE
0	0.3891429719
1	0.3563738473
2	0.3258883664
3	0.2989209965
4	0.2744643356
5	0.2526472753
6	0.2342939094
7	0.2173359489
8	0.2018453177
9	0.1881080863
10	0.1751828466
11	0.164881855
12	0.1552352231
13	0.1473054913
14	0.1385266405
15	0.1310380731
16	0.1252940985
17	0.1195979818
18	0.114297945
19	0.1095223762
20	0.1060603274
21	0.1019984032
22	0.09875070976
23	0.09610316393
24	0.0935155284
25	0.09115195571
26	0.08935814442
27	0.08738886045
28	0.08596456813
29	0.08458329575
30	0.08322617083
31	0.08234098645
32	0.08125396221
33	0.08039291904
34	0.07939862867
35	0.07875051975
36	0.07809197211
37	0.07709429517
38	0.07634280283
39	0.07581354641
40	0.07548511066
41	0.07505167939
42	0.07441996776
43	0.07389284091
44	0.07345810177
45	0.07303698876
46	0.07254242306
47	0.07223656528
48	0.071762442
49	0.07114737992
50	0.07067382591
51	0.07022176681
52	0.06975418871
53	0.06946096194
54	0.06915266168
55	0.06865433595
56	0.06815473619
57	0.06777778745
58	0.06730679057
59	0.06697806645
60	0.06658846144
61	0.06625107354
62	0.06594562306
63	0.06562615529
64	0.06525978793
65	0.06505567075
66	0.06473183947
67	0.06444774042
68	0.06412763144
69	0.06380594006
70	0.0635283541
71	0.06327070304
72	0.06288084156
73	0.06264429456
74	0.06233652581
75	0.06217288782
76	0.06198929528
77	0.06187052179
78	0.06157234743
79	0.06125121034
80	0.0611042377
81	0.06095352499
82	0.06073264856
83	0.06049666953
84	0.0602221328
85	0.05997977261
86	0.05977456604
87	0.05950915698
88	0.05928190582
89	0.0590304906
90	0.05882331679
91	0.05853493369
92	0.05833510135
93	0.05816923837
94	0.05804696562
95	0.0577534372
96	0.05750763443
97	0.05725356394
98	0.05704303641
99	0.05682678109
100	0.05657571876
101	0.0564354402
102	0.05626714504
103	0.0561280409
104	0.05585514459
105	0.0556946555
106	0.05551085159
107	0.05537651155
108	0.05518742309
109	0.05490700161
110	0.05468487599
111	0.05447944454
112	0.05432531416
113	0.05420429116
114	0.05399838228
115	0.05377225426
116	0.05364799132
117	0.05345577382
118	0.05333633674
119	0.05313489512
120	0.0529285686
121	0.05282760384
122	0.05265106976
123	0.05247710542
124	0.05231217081
125	0.05219778717
126	0.05199288128
127	0.05184992295
128	0.05173615383
129	0.05154874191
130	0.05138725272
131	0.05128488473
132	0.05117901631
133	0.05109376501
134	0.05101553813
135	0.0508391034
136	0.05067448593
137	0.05058853917
138	0.050417866
139	0.05027578308
140	0.05016382872
141	0.05006767612
142	0.0499390798
143	0.04976665361
144	0.04967108469
145	0.04955990049
146	0.04942620296
147	0.04929272756
148	0.04922477904
149	0.04906257808
150	0.04893803011
151	0.04880934335
152	0.0486982754
153	0.04857997465
154	0.04846963215
155	0.04839887154
156	0.04827056375
157	0.04814948691
158	0.04802407394
159	0.04789093384
160	0.04781657543
161	0.04770455494
162	0.04758011185
163	0.04746436844
164	0.04737358556
165	0.0472633715
166	0.04717208671
167	0.04710068369
168	0.04698726207
169	0.04690032769
170	0.04684038388
171	0.04673601388
172	0.0466341978
173	0.04657620203
174	0.04648377322
175	0.04638478114
176	0.04631883404
177	0.04622601504
178	0.04614272546
179	0.04605310125
180	0.04595913646
181	0.04586635458
182	0.04579548249
183	0.04569539015
184	0.04565265081
185	0.04561109168
186	0.04552957246
187	0.04544582118
188	0.04537274533
189	0.04530013011
190	0.04521331833
191	0.04512520137
192	0.04508810316
193	0.04500570686
194	0.04494510305
195	0.04488709619
196	0.04482819328
197	0.04473927002
198	0.04467000565
199	0.04459886499
200	0.04453519295
201	0.04448800944
202	0.04442221071
203	0.04436692771
204	0.04429616519
205	0.04425311846
206	0.04417895158
207	0.04409531931
208	0.04402218204
209	0.04397517288
210	0.04390249902
211	0.04382301387
212	0.04373828286
213	0.04367434063
214	0.04361171695
215	0.04355516523
216	0.04348489383
217	0.04340879774
218	0.04335238485
219	0.04327726933
220	0.04322540917
221	0.04316865168
222	0.04311513737
223	0.04306602028
224	0.04301906202
225	0.04295012151
226	0.04287970532
227	0.04283349706
228	0.04276876385
229	0.0427039698
230	0.0426413025
231	0.04258449439
232	0.0425171705
233	0.04244722644
234	0.04241398192
235	0.04236262414
236	0.04231270783
237	0.04225977816
238	0.04221145574
239	0.0421467394
240	0.04210941383
241	0.04207416392
242	0.04202140996
243	0.04198853769
244	0.04194007982
245	0.04187005141
246	0.04182983422
247	0.04177706691
248	0.04172481787
249	0.04169181181
250	0.04166359581
251	0.04160715089
252	0.04155856439
253	0.04153362443
254	0.0414826542
255	0.04142784125
256	0.04138580203
257	0.04133666116
258	0.04129855681
259	0.0412508144
260	0.04121627629
261	0.04117091488
262	0.04113117505
263	0.04110418892
264	0.04107078832
265	0.04101067767
266	0.0409629562
267	0.04090730013
268	0.04087165667
269	0.04084077526
270	0.04079879244
271	0.04075063718
272	0.0407055325
273	0.04066636224
274	0.04063177014
275	0.04058934178
276	0.04055966317
277	0.04051404684
278	0.04046430335
279	0.04043236586
280	0.04039302721
281	0.04033304682
282	0.04029789522
283	0.04028622763
284	0.04023500734
285	0.04019810586
286	0.04014732946
287	0.04010862662
288	0.04006869723
289	0.04002126079
290	0.03998821064
291	0.03994109643
292	0.03991761681
293	0.03988016801
294	0.03985105414
295	0.03981119258
296	0.0397763987
297	0.03974296704
298	0.03969777996
299	0.03965583916
